09:02:57.946,0a2,X1531117,0,2
09:06:29.713,0a2,X1531117,2,0
09:07:37.176,0a5,X1531117,0,5
09:08:20.333,0a5,X1531117,5,0
09:16:42.24,0a7,X1531117,0,7
09:18:49.24,0a25,U5049739,0,25
09:23:40.932,0a25,U5049739,25,0
09:27:16.334,6a7,X1531117,7,6
09:27:24.109,0a24,U5049739,0,24
09:27:33.401,5a6,X1531117,6,5
09:28:35.547,24a25,U5049739,24,25
09:29:05.79,24a25,U5049739,25,24
09:30:41.704,0a25,O2590715,0,25
09:31:04.808,0a4,N7271002,0,4
09:31:51.945,13a25,O2590715,25,13
09:32:29.695,0a5,X1531117,5,0
09:33:16.351,0a10,H4421781,0,10
09:33:20.667,13a14,O2590715,13,14
09:33:59.26,13a14,O2590715,14,13
09:34:04.113,13a25,O2590715,13,25
09:34:33.199,24a25,U5049739,24,25
09:34:51.729,0a23,X1531117,0,23
09:35:32.857,0a25,O2590715,25,0
09:35:41.792,0a5,M8812377,0,5
09:35:56.187,0a14,L4408509,0,14
09:36:23.951,13a14,L4408509,14,13
09:36:24.31,0a10,H4421781,10,0
09:36:50.451,0a14,B7166026,0,14
09:36:59.15,0a18,H4421781,0,18
09:37:07.171,18a19,H4421781,18,19
09:37:17.962,13a25,L4408509,13,25
09:37:32.274,18a19,H4421781,19,18
09:37:48.245,23a24,X1531117,23,24
09:37:49.114,0a14,B7166026,14,0
09:38:09.118,0a23,T2094161,0,23
09:38:11.03,0a16,O2590715,0,16
09:38:20.862,23a24,X1531117,24,23
09:38:47.477,0a25,U5049739,25,0
09:38:49.579,0a5,M8812377,5,0
09:39:31.974,0a23,T2094161,23,0
09:40:23.242,0a8,O7347885,0,8
09:40:49.395,7a8,O7347885,8,7
09:40:53.301,16a17,O2590715,16,17
09:41:02.263,17a18,H4421781,18,17
09:41:17.488,0a23,X1531117,23,0
09:41:28.555,0a22,M8812377,0,22
09:41:31.112,17a26,O2590715,17,26
09:41:44.02,0a26,O2590715,26,0
